[INFO ] [2023-05-01 23:06:07,690] Register - Step 01: Navigate to REGISTER page
[INFO ] [2023-05-01 23:06:10,166] Register - Step 02: Click on Male radio button
[INFO ] [2023-05-01 23:06:10,452] Register - Step 03: Input to firstname textbox
[INFO ] [2023-05-01 23:06:10,743] Register - Step 04: Input to lastname textbox
[INFO ] [2023-05-01 23:06:10,909] Register - Step 05: Select birthday day
[INFO ] [2023-05-01 23:06:11,674] Register - Step 06: Select birthday month
[INFO ] [2023-05-01 23:06:11,782] Register - Step 07: Select birthday year
[INFO ] [2023-05-01 23:06:11,887] Register - Step 08: Input to email address textbox
[INFO ] [2023-05-01 23:06:12,000] Register - Step 09: Input to company textbox
[INFO ] [2023-05-01 23:06:12,283] Register - Step 10: Input to password textbox
[INFO ] [2023-05-01 23:06:12,753] Register - Step 11: Input to confirm password textbox
[INFO ] [2023-05-01 23:06:12,974] Register - Step 12: Click to REGISTER button
[INFO ] [2023-05-01 23:06:15,469] Register - Step 13: Verify if register completed
[INFO ] [2023-05-01 23:06:15,521]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-01 23:06:15,521] Register - Step 14: Return to HOME page
[INFO ] [2023-05-01 23:06:16,104] Register - Step 15: Return to HOME page successfully
[INFO ] [2023-05-01 23:06:16,112]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-01 23:06:16,121] Login - Step 01: Click to LOGIN link
[INFO ] [2023-05-01 23:06:16,691] Login - Step 02: Input Email and Password
[INFO ] [2023-05-01 23:06:16,920] Login - Step 03: Click to LOGIN button
[INFO ] [2023-05-01 23:06:18,867] Login - Step 04: Check if Login successfully
[INFO ] [2023-05-01 23:06:18,893]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-01 23:06:19,383] Login - Step 05: Check if Male radio button is selected
[INFO ] [2023-05-01 23:06:19,591]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-05-01 23:06:19,591] Login - Step 06: Check if firstname match registered info
[INFO ] [2023-05-01 23:06:19,627]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-01 23:06:19,627] Login - Step 07: Check if last match registered info
[INFO ] [2023-05-01 23:06:19,672]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-01 23:06:19,673] Login - Step 08: Check if date of birth match registered info
[INFO ] [2023-05-01 23:06:19,971]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-01 23:06:20,055]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-05-01 23:06:21,118]  -------------------------- FAILED -------------------------- 
[INFO ] [2023-05-01 23:06:21,119] Login - Step 09: Check if email address match registered info
[INFO ] [2023-05-01 23:06:21,210]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-01 23:06:21,210] Login - Step 10: Check if company name match registered info
[INFO ] [2023-05-01 23:06:21,259]  -------------------------- PASSED -------------------------- 
